question,answer
Synergie definieren können,"Von einer Synergie wird gesprochen, wenn zwei oder mehr Parteien zusammenarbeiten und für alle Parteien einen Vorteil generiert wird. Synergie verfolgt das Prinzip ""2+2=5""."
Synergiearten kennen,"Die unterschiedlichen Arten sind Folgende: Managementsynergien, Umsatzsynergien, andere Kosteneinsparungssynergien, technologische Synergien und finanzielle Synergien"
VIRO – Schema verstehen können,"Durch das Schema wird die Kernkompetenz eines Unternehmens dargestellt. 
V – Value: Ressourcen und Kompetenzen ermöglichen Reaktion auf externe Chancen und Risiken. 
R – Rareness: Wie viel Konkurrenz liegt vor. 
   I – Imitability: Welchen Vorteil hat das eigene Unternehmen im Vergleich zu den Wettbewerben ohne die Ressourcen oder Kompetenz. O – Organization: Ist ein Unternehmen so organisiert, dass der Vorteil auch umgesetzt werden kann."
Vergleichshorizont – traditionelle Betrachtung versus Benchmarking,"Gemeinsame Ebenen: eigene Leistung im Zeitverlauf, Leistung anderen Unternehmensbereiche, Leistung der unmittelbaren Konkurrenten. 
Ebenen, die das Benchmarking mehr berücksichtigt: Leistung der Branche, Leistung branchenfremder, nationaler Unternehmungen und Leistung branchenfremder, internationaler Unternehmungen "
Renner-Penner-Analyse – Grundidee,"Die Grundidee der Analyse ist die Klassifizierung von Produkten in die drei Kategorien: Verlierer, Penner und Gewinner. Die Klassifizierung sagt über den Wert eines Produktes für ein Unternehmen aus."
Renner-Penner-Analyse – Gefahr kennen,"Es muss beachtet werden, dass auch „Verlierer“ entscheidend für ein Geschäft berücksichtigt werden müssen, da für die Klassifizierung nur der Deckungsbeitrag und Absatz betrachtet werden. Andere Faktoren bleiben bei der Klassifizierung außen vor."
Gütekriterien der Marktforschung kennen,"Als Gütekriterien liegen drei Werte vor: Objektivität (Unabhängigkeit von Messvorgang und das mehrere Personen dasselbe Ergebnis erziehen), Reliabilität (frei von Zufallsfehlern und das identischen Messungen dasselbe Ergebnisse erzielen) und Validität (frei von symmetrischen Fehlern und das der eigentliche Sachverhalt erfasst wird)"
Regressionsanalyse – Vor- und Nachteil,"Vorteile: leicht zu berechnen, gute Datenlage und flexibel anwendbar. Nachteile: fraglich ob die Vergangenheit der Zukunft entspricht und dass die Marktveränderung nicht antizipiert wird."
Bestimmtheitsmaß interpretieren können,"Das Bestimmtheitsmaß gibt die Gültigkeit der Regressionsanalyse an, denn der Wert beschreibt, ob die Distanz der einzelnen Werte hin zur Regressionsgerade minimal ist."
Was ist das Erfahrungskurvengesetz?,"Das Gesetzt sieht vor, dass bei jeder Verdopplung der Produktionsmenge ein Stückkostensenkungspotential von 20-30% vorliegt."
Nischenstrategie – Voraussetzung für Erfolg,"Die Voraussetzungen für Erfolg sind Folgende: Profitabilität und Wachstumspotential, nicht kritisch für den Erfolg von Marktführern, kostenintensiv und eher für breit aufgestellte Wettbewerber, Ressourcen und Fähigkeiten, wenige Konkurrenten."
Nischenstrategie – Risiken,"Die Risiken sind Folgende: Markteinstieg von breiten Mitbewerbern, Nische wird Teil des Hauptmarktes und das schwindende Interesse an der Nische"
"Was ist ""Stuck in the middle""?","Bei 
Stuck in the middle
 wird von Unternehmen gesprochen, die weder differenziert handeln noch Kostenführer sind. So befinden sich die Unternehmen in einem wirtschaftlichen Tief, da sie nicht einer der Strategien entsprechen. Ein Beispiel für so ein Unternehmen ist die Fluggesellschaft AirBerlin, die weder durch eine Differenzierung hervorstechen oder als Kostenführer den Markt bestimmen können."
Verschiedene Arten von hybriden Strategien,"Die verschiedenen Arten sind Folgende: Hybride Varietätsstrategie (Kostenvorteil durch die Synergie), Hybride Qualitätsstrategie (Kostenvorteil durch Total Quality Management) und Hybride Innovationsstrategie (Kostenvorteil durch Geschwindigkeits- und Lernprozesse)"
Agende der Strategieimplementierung,"Die Agende ist wie folgt aufgebaut: Implementierung an Externe anpassen, Strategiegerechte Organisationstruktur, Strategieorientierte Organisationstruktur, Führungskompetenz, Strategieorientierte Anreizanalyse, Kommunikations- und Informationssysteme, Veränderungsprozesse, Richtlinien und Budgetierung"
